Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,1937884.8077326277,0.17586861022364217,11823016.046776108,0.25435126582278483,463541498.172524
1,1570563.280925519,0.28182408146964855,10813356.658425633,0.34236550632911394,424750800.76677316
2,1438816.2458566295,0.331819089456869,9869206.017800633,0.37124208860759494,387537312.0
3,1318007.1020367413,0.36197084664536744,9043615.758801425,0.3822191455696203,354812129.942492
4,1211601.6402256389,0.3874800319488818,8319618.947191455,0.4295886075949367,326257574.33865815
5,1119276.1485623003,0.4080970447284345,7684384.683643196,0.4454113924050633,301157744.76677316
6,1038213.7550169729,0.41957867412140576,7123720.966079905,0.44155458860759494,278886187.24600637
7,966484.5690145767,0.4325579073482428,6616730.860363924,0.46380537974683544,258946740.85623002
8,901519.1619034545,0.4463608226837061,6164238.830943434,0.45569620253164556,240930044.06389776
9,843547.4276407748,0.4559454872204473,5748632.494709256,0.4786392405063291,224562296.07667732
10,790613.766448682,0.46420726837060705,5370569.3405359965,0.4801226265822785,209594778.8370607
11,742972.7323157947,0.46617911341853036,5022377.262312104,0.5022745253164557,195874811.60383385
12,698051.8036391773,0.4778853833865815,4700964.247033228,0.5150316455696202,183230318.2108626
13,656548.6335613019,0.49051517571884984,4405284.189774525,0.525118670886076,171530314.01916933
14,619177.2477785543,0.49188797923322686,4134354.700207674,0.5107792721518988,160724877.75079873
15,584195.3601862021,0.4959564696485623,3879191.8721815664,0.5275909810126582,150718482.70926517
16,551636.3364117412,0.504967052715655,3645581.1171380538,0.5282832278481012,141432058.07028753
17,521665.3708566294,0.5088857827476039,3426780.677314082,0.5315466772151899,132824696.33226837
18,493300.95867861423,0.5168230830670927,3226170.217909415,0.5228441455696202,124839457.71246007
19,466950.31920177717,0.5228634185303515,3036163.4413568038,0.5411392405063291,117416806.79872204
20,442737.7996455671,0.5323981629392971,2863197.1284612343,0.5375791139240507,110530425.35463259
21,420370.35783995606,0.5337210463258786,2700641.120253165,0.5524129746835443,104157896.28115016
22,399214.46334614616,0.5430561102236422,2550376.5652689873,0.5572587025316456,98215065.30351438
23,379694.9875449281,0.546026357827476,2413762.915446994,0.536689082278481,92703619.16932908
24,361815.5709365016,0.5508436501597445,2281360.3494857596,0.5616099683544303,87586649.61022364
25,344868.32099890173,0.5564097444089456,2161259.869412579,0.5566653481012658,82819108.29392971
26,328780.46715255594,0.5640974440894568,2044502.437747231,0.5910799050632911,78372332.39616613
27,314211.47533945687,0.5696635383386581,1940935.2949465981,0.5867286392405063,74231415.028754
28,300188.1953998602,0.5743809904153354,1843752.1383504746,0.5748615506329114,70351371.73162939
29,287031.19344049523,0.5820437300319489,1750264.6066060127,0.588310917721519,66722545.66134185
30,274738.5583316693,0.5872603833865815,1666096.8753955697,0.5838607594936709,63328350.22364217
31,263774.79521515575,0.5899810303514377,1584275.6947191455,0.5925632911392406,60150409.39297125
32,252504.63785443292,0.5971196086261981,1507861.1683643197,0.6015625,57141398.86261981
33,242159.8438623203,0.6069039536741214,1436081.671875,0.6049248417721519,54321355.89776358
34,232838.26079522763,0.6096994808306709,1369952.3404865507,0.5993868670886076,51663683.34824281
35,223856.62335263577,0.6099990015974441,1303150.8358386075,0.612440664556962,49152417.38019169
36,214594.8745631989,0.618560303514377,1245867.5389636075,0.6034414556962026,46775467.25878594
37,206469.80970447283,0.6238268769968051,1188492.0318928007,0.6017602848101266,44528175.25878594
38,198622.04387979233,0.627745607028754,1133046.1203026108,0.6123417721518988,42409004.012779556
39,191521.22677466055,0.6333366613418531,1085091.3106704906,0.5966178797468354,40395160.025559105
40,184399.35692891374,0.6394768370607029,1033902.6416139241,0.6058148734177216,38482778.837060705
41,177189.10771515575,0.644743410543131,989085.1818631329,0.6088805379746836,36674087.2971246
42,170959.34311351838,0.6471894968051118,947508.3691653481,0.600870253164557,34966722.73482428
43,164894.89036291934,0.6512579872204473,904544.5465783228,0.6208465189873418,33352092.204472844
44,158376.05582318292,0.6623152955271565,864834.589349288,0.620253164556962,31794914.875399362
45,152909.68662015774,0.6661092252396166,830951.1900217563,0.598496835443038,30335182.408945687
46,147640.0609774361,0.6706769169329073,793391.033672864,0.6208465189873418,28949655.955271564
47,142572.45795477237,0.6720247603833865,759988.2451542722,0.6270767405063291,27655551.891373802
48,137204.49185053914,0.6813348642172524,727883.3600178006,0.6172863924050633,26393122.766773164
49,132533.75615265575,0.6844049520766773,698890.2810522151,0.6227254746835443,25218368.460063897
50,128213.64926118212,0.6917432108626198,671367.9115407437,0.6214398734177216,24102674.453674123
51,123505.76651108227,0.6962110623003195,643377.2753659019,0.6269778481012658,23037762.17891374
52,119569.36021740215,0.6994558706070287,619207.1696004746,0.6194620253164557,22030910.61341853
53,115589.8341029353,0.703973642172524,595326.436016614,0.6215387658227848,21097498.79233227
54,111376.2946098742,0.7122354233226837,573976.8685719937,0.6259889240506329,20190707.233226836
55,107883.24774111422,0.7155800718849841,554662.7021855222,0.607693829113924,19363384.990415335
56,104597.48239067492,0.7184754392971247,532471.2965783228,0.624307753164557,18549741.10543131
57,100916.64318340654,0.7277605830670927,513603.2923012263,0.6289556962025317,17784819.539936103
58,98132.1228908746,0.7277605830670927,497857.7163271361,0.616495253164557,17074782.658146966
59,94828.29414811303,0.7349490814696485,479493.572018394,0.6242088607594937,16374747.226837061
60,91291.88866563498,0.7432857428115016,466122.12771954114,0.611056170886076,15752480.447284345
61,88367.49903279752,0.7503494408945687,450007.7241890823,0.6193631329113924,15150552.14057508
62,86157.43040510184,0.7518470447284346,436337.4629153481,0.6056170886075949,14583643.437699681
63,83110.5137529952,0.759185303514377,423774.1428500791,0.6187697784810127,14048565.872204473
64,80467.6875,0.7654253194888179,410840.3021162975,0.6130340189873418,13535712.30031949
65,78147.57382562899,0.7681459664536742,399664.0641317247,0.618868670886076,13059007.900958467
66,76304.09899785343,0.7714406948881789,388680.172122231,0.6130340189873418,12597416.26198083
67,73567.34633336661,0.7800269568690096,382715.7079707279,0.6127373417721519,12173946.715654952
68,71498.06112095647,0.7819988019169329,369046.54346321203,0.6179786392405063,11775640.776357828
69,69636.01545651957,0.7903354632587859,363261.6697982595,0.6210443037974683,11405186.91373802
70,67590.90860248602,0.7932807507987221,355720.3238726266,0.6038370253164557,11052925.476038339
71,66085.15521415735,0.7955521166134185,348010.03016218357,0.6150118670886076,10720821.932907348
72,64008.109306359824,0.8021415734824281,342004.83712420886,0.6053204113924051,10408361.073482428
73,62414.92341004393,0.8036142172523961,333528.6658920095,0.6126384493670886,10105759.693290735
74,60733.456950129796,0.8092052715654952,328662.56986748416,0.6040348101265823,9828840.523961661
75,58947.01799308606,0.8134984025559105,319930.71548655065,0.6084849683544303,9568759.230031949
76,58126.144893170924,0.8144219249201278,316634.78693631326,0.6123417721518988,9326767.888178913
77,56107.731698033145,0.8231829073482428,311479.2654766614,0.6150118670886076,9098724.45686901
78,55121.37324655551,0.8228833865814696,307914.56314280065,0.602254746835443,8883713.66453674
79,53859.061064796326,0.8287739616613419,302553.12638449366,0.6042325949367089,8686379.766773162
80,53014.67399660543,0.8313448482428115,299791.89779469935,0.6030458860759493,8496406.881789137
81,51734.1473049371,0.8351886980830671,298423.21162974683,0.5959256329113924,8316518.897763578
82,50367.378017047726,0.8400808706070287,295068.55795094935,0.6049248417721519,8149342.055910544
83,49665.75471433207,0.8420776757188498,291890.4279568829,0.6054193037974683,7996259.608626198
84,48617.09685128794,0.8438498402555911,287526.92756131326,0.6089794303797469,7854950.95686901
85,48197.10977124101,0.8464706469648562,286445.9452630538,0.593057753164557,7716427.976038339
86,46710.24199405951,0.8500399361022364,286179.1175830696,0.5999802215189873,7590053.468051118
87,46391.599865215656,0.8520617012779552,280687.10888053797,0.6073971518987342,7469757.052715655
88,45081.73742012779,0.8577276357827476,280414.25514240505,0.5942444620253164,7352204.876996805
89,44525.54198906749,0.8590754792332268,278835.53095332277,0.5989912974683544,7245035.063897763
90,44534.221932408145,0.8550319488817891,274219.39369066455,0.5987935126582279,7146014.575079872
91,43277.01771228534,0.8620706869009584,277396.07095530065,0.5959256329113924,7054113.118210862
92,42561.044818914736,0.8655650958466453,275313.82486155065,0.6005735759493671,6965314.511182109
93,42044.58661454173,0.8666882987220448,271864.2584058544,0.603243670886076,6885620.471246006
94,41818.71402006789,0.8662889376996805,268106.6832476266,0.5886075949367089,6808958.701277955
95,41289.27384934106,0.8693590255591054,270933.7799643987,0.5869264240506329,6737465.079872205
96,40444.73962129343,0.8720047923322684,270000.9440268987,0.5963212025316456,6674617.551118211
97,40195.830460325975,0.8739017571884984,267499.97997428797,0.6044303797468354,6611034.712460064
98,39516.040307383184,0.8758985623003195,271349.17009493674,0.5973101265822784,6549744.835463258
99,38902.47878550569,0.8789936102236422,268193.4553006329,0.5960245253164557,6490495.781150159
