Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,7270950.888647152,0.11973397943037975,46382674.53828125,0.13439223345588236,465002829.3670886
1,5961893.170688291,0.17481704905063292,44119051.02617188,0.20107996323529412,443191154.6329114
2,5660550.113034019,0.22881230221518986,41844284.14765625,0.2514533547794118,420538072.70886075
3,5368902.16366693,0.26033425632911394,39713839.87382813,0.259765625,399042304.4050633
4,5096841.107990506,0.28683742088607594,37746907.18359375,0.3027630974264706,379194222.5822785
5,4846261.284117879,0.31062104430379744,35948141.267578125,0.33060087316176473,361011048.9113924
6,4618290.739814082,0.3290644778481013,34304307.60898437,0.3338407628676471,344364909.7721519
7,4409844.719541139,0.34100573575949367,32796499.534765624,0.3380227481617647,329109949.164557
8,4218449.419204905,0.35497428797468356,31406643.423046876,0.37641888786764705,315077651.03797466
9,4041977.9217761075,0.36466574367088606,30125855.238671876,0.3687787224264706,302125050.3291139
10,3879326.229727057,0.37307159810126583,28935376.52421875,0.4016142003676471,290124827.9493671
11,3728932.3130933545,0.3782634493670886,27830476.9390625,0.41095473345588235,278975328.4050633
12,3588026.5948378164,0.392578125,26802125.903125,0.39136029411764706,268567215.3924051
13,3458619.078619462,0.38928995253164556,25836492.61953125,0.401953125,258829325.56962025
14,3335603.6668314873,0.40236847310126583,24929604.74921875,0.40928308823529413,249692233.11392406
15,3221061.463607595,0.40338212025316456,24082181.050390624,0.37093290441176474,241092883.24050632
16,3112091.192642405,0.4124554984177215,23270777.22109375,0.39813304227941176,232973034.32911393
17,3009028.999307753,0.4217019382911392,22507808.14140625,0.4183019301470588,225293188.65822786
18,2914844.0415348103,0.40669501582278483,21787045.674609374,0.40517578125,218022070.88607594
19,2820884.5296677216,0.4301572389240506,21101654.269921876,0.3978687959558823,211110263.0886076
20,2734193.350870253,0.4318631329113924,20447395.62890625,0.41310317095588234,204532012.9620253
21,2651105.2249802216,0.4350276898734177,19821296.365625,0.4337603400735294,198263526.07594937
22,2573996.491198576,0.42249307753164556,19232196.301171876,0.39484145220588235,192287710.5822785
23,2497276.819818038,0.43730221518987344,18660603.716015626,0.4302274816176471,186570569.92405063
24,2423906.0273931962,0.4481309335443038,18113394.387109376,0.4559110753676471,181096007.29113925
25,2355204.451246044,0.450331289556962,17590929.130859375,0.45927734375,175849745.01265824
26,2288624.4397745254,0.4542128164556962,17092174.677734375,0.4438821231617647,170821227.1392405
27,2225153.624703323,0.4540150316455696,16614492.25859375,0.42135799632352944,165990925.36708862
28,2164291.3180379746,0.45925632911392406,16150133.652734375,0.4406192555147059,161345723.94936708
29,2105391.7247824366,0.46214893196202533,15702897.08125,0.4628561580882353,156878428.15189874
30,2049217.3782634493,0.464003164556962,15276232.981640626,0.46375804227941175,152579457.21518987
