Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
0,555.7899513,0.026857029,526.3515918,0.040150316
1,508.619866,0.068764976,484.6158616,0.093453323
2,472.8467328,0.118435503,457.1248878,0.134196994
3,442.9619031,0.159095447,426.5115438,0.183742089
4,419.3101654,0.192541933,419.0394339,0.194026899
5,399.448427,0.221545527,403.0366296,0.221914557
6,385.455419,0.242611821,394.0190559,0.231803797
7,369.6658545,0.269044529,384.9809805,0.251384494
8,356.0141124,0.28888778,379.6764366,0.263251582
9,343.2854962,0.308805911,373.7989281,0.274228639
10,331.0004718,0.327301318,365.2718075,0.284711234
11,317.4461748,0.348692093,368.2112936,0.288271361
12,306.2109536,0.367986222,360.7671534,0.297765032
13,295.2685184,0.386331869,358.3516812,0.300929589
14,282.5680661,0.410867612,364.5787099,0.308148734
15,272.1858352,0.427391174,356.4019647,0.315466772
16,260.1814416,0.446660343,364.8584183,0.319719146
17,250.0190015,0.467252396,370.2050651,0.305874209
18,239.9960733,0.486197085,367.8400381,0.314280063
19,228.6293384,0.504842252,369.6429814,0.322191456
20,217.6440137,0.528279752,378.0042586,0.321993671
21,206.7431149,0.546400759,386.0329535,0.328421677
22,195.9699448,0.568690096,393.4702996,0.324564873
23,156.9834104,0.657872404,396.8070014,0.34088212
24,149.1320259,0.674221246,401.1649294,0.339003165
25,144.3562131,0.686401757,407.3719082,0.340288766
26,141.8221498,0.69124401,411.7875662,0.339299842
27,138.7016389,0.697384185,417.0435602,0.339398734
28,136.2638392,0.704797324,416.7656254,0.339893196
29,133.8713677,0.708940695,422.8609998,0.339003165
30,128.6089751,0.721246006,422.5570864,0.336827532
31,127.9134326,0.722369209,426.885736,0.336135285
32,128.0081753,0.724640575,423.9779725,0.337025316
33,127.1196885,0.726762181,423.3638528,0.337618671
34,127.1009687,0.726238019,425.2217713,0.343255538
35,126.3859087,0.725089856,425.2376986,0.341178797
36,126.0685287,0.728110024,425.546894,0.339299842
37,125.6716417,0.729382987,427.0489026,0.335739715
38,125.7587639,0.73030651,426.6769842,0.338904272
39,125.7120155,0.729407947,426.6062137,0.338310918
40,124.7713826,0.731180112,427.347771,0.339794304
41,125.3629327,0.729308107,426.5486278,0.344837816
42,125.5251933,0.73028155,427.7788973,0.341772152
43,125.692426,0.728309704,426.7977069,0.340585443
44,125.395892,0.729557708,426.9212079,0.339992089
45,125.6959999,0.728808906,426.5227566,0.339003165
46,125.3027273,0.731479633,428.5044735,0.341079905
47,125.302873,0.731729233,426.8914137,0.339794304
48,125.4635589,0.730830671,429.2924914,0.337915348
49,125.491827,0.729607628,425.5615512,0.340585443
50,124.9903599,0.731878994,428.6891657,0.339200949
51,125.4676624,0.728883786,426.5132438,0.337321994
52,125.0824899,0.730705871,428.5625663,0.340387658
53,125.8426061,0.729982029,427.4543094,0.338607595
54,125.4761356,0.728634185,428.4734951,0.340387658
55,125.1107843,0.731829073,429.9973776,0.338212025
56,125.5504335,0.729882188,426.1640398,0.337124209
57,125.7222874,0.730830671,427.9376023,0.34127769
58,125.3903659,0.730905551,427.3089078,0.339497627
59,125.5413784,0.728634185,427.0243005,0.337025316
60,125.3256177,0.731779153,427.6819977,0.336530854
61,125.1746807,0.730730831,429.0426276,0.344936709
62,125.4104936,0.729158347,426.5718065,0.339200949
63,125.088884,0.73058107,428.7422145,0.339398734
64,125.3466109,0.731180112,427.6724293,0.338014241
65,125.3041053,0.73038139,426.2391553,0.338904272
66,125.646388,0.727486022,425.0424118,0.340684335
67,125.4937641,0.729582668,429.0306185,0.340981013
68,125.1576978,0.730006989,425.1296171,0.341673259
69,125.6131302,0.728459465,427.090131,0.338113133
70,125.3675718,0.731055312,427.7236799,0.339102057
71,125.1810428,0.73065595,426.3583377,0.339200949
72,125.2177593,0.73040635,428.4789076,0.338706487
73,125.0444975,0.729707468,427.2565185,0.339893196
74,125.1923881,0.732178514,431.0423945,0.336827532
75,125.0499726,0.73058107,429.5752848,0.337618671
76,125.193083,0.73040635,427.3283517,0.337124209
77,125.0516231,0.730131789,426.0245899,0.341079905
78,125.4078498,0.728958666,426.5162929,0.341673259
79,126.0908419,0.729108427,428.6694552,0.342365506
80,124.9940682,0.729882188,427.0535263,0.338607595
81,125.3118567,0.729358027,428.871844,0.340585443
82,125.3535448,0.730206669,428.7174064,0.341079905
83,125.2864039,0.730930511,427.7512193,0.342266614
84,125.425863,0.730206669,427.8796769,0.339398734
85,125.2076372,0.732103634,428.5255189,0.341574367
86,125.6840454,0.730056909,427.8331327,0.338706487
87,125.2925763,0.729607628,427.0813012,0.339893196
88,124.9266359,0.73060603,425.3596872,0.339102057
89,125.5941922,0.73043131,428.1138761,0.340090981
90,125.5462238,0.728409545,429.4920973,0.33880538
91,125.332735,0.730780751,427.4576974,0.338310918
92,125.4474386,0.73065595,428.9755339,0.341475475
93,125.4298016,0.731379792,427.4434429,0.342859968
94,125.1231856,0.729732428,426.8148828,0.335245253
95,124.9017744,0.731504593,429.2999032,0.335344146
96,125.6640248,0.73028155,429.307554,0.343552215
97,125.1052782,0.731354832,428.6350356,0.331685127
98,125.2484074,0.73035643,427.2478381,0.341079905
99,125.5883692,0.730880591,429.1187809,0.338508703
