Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,1895967.2557657748,0.12347743610223642,11832263.054984177,0.20727848101265822,463703710.057508
1,1584533.5994408946,0.15971944888178913,10784806.154272152,0.2743275316455696,423220968.485623
2,1451908.3843101037,0.1776906948881789,9802625.973892406,0.2911392405063291,384432242.4025559
3,1328681.4268420527,0.1927915335463259,8946028.306665348,0.3103243670886076,350469881.1501597
4,1221330.5390874601,0.19666034345047922,8203815.888746045,0.330498417721519,321039532.7795527
5,1128262.2603334663,0.20255091853035143,7555372.353540348,0.3473101265822785,295363927.00319487
6,1047061.8584015575,0.20639476837060702,6984461.11758307,0.3725276898734177,272757991.66773164
7,975285.438673123,0.21273462460063897,6478772.317543512,0.35136471518987344,252652938.68370607
8,911461.7431110224,0.21790135782747605,6021111.209651899,0.3671875,234615447.25878593
9,854198.0388378594,0.2225189696485623,5610832.314774525,0.37767009493670883,218308931.93610224
10,802196.2149311103,0.227935303514377,5234241.682456488,0.388251582278481,203469262.87539935
11,755374.5314746406,0.22533945686900958,4892944.649426424,0.41089794303797467,189901151.43769968
12,712385.1700279553,0.22763578274760382,4577317.369560918,0.38568037974683544,177450807.514377
13,672440.3724041533,0.230256589456869,4288653.551522943,0.41327136075949367,165972440.485623
14,635759.5999650559,0.23584764376996806,4019532.8943829113,0.3918117088607595,155375771.85942492
15,602099.0833166933,0.23639676517571884,3774980.1257911394,0.38568037974683544,145579926.6453674
16,570928.7092152556,0.23597244408945686,3541390.1556566455,0.41930379746835444,136502759.66773164
17,542122.4752645767,0.238493410543131,3331159.187302215,0.4252373417721519,128105945.27795528
18,515108.4806809105,0.24510782747603835,3131018.355715981,0.44096123417721517,120320725.36741214
19,490313.5356180112,0.24553214856230032,2947473.168710443,0.45361946202531644,113095679.1054313
20,467375.9372753594,0.2447084664536741,2778521.669996044,0.4697389240506329,106402973.85303514
21,445818.58985623,0.24895167731629392,2624610.194818038,0.3884493670886076,100189808.25559105
22,425983.8825628994,0.2523712060702875,2478496.403876582,0.46281645569620256,94419387.22044729
23,407546.67397164536,0.25386880990415334,2341063.4148536394,0.4408623417721519,89069824.84345049
