Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Train KL Div
0,1945235.148811901,0.19039536741214058,12101667.220628956,0.23744066455696203,473972294.44089454
1,1607347.9369508787,0.29897164536741216,11532402.329509493,0.3506724683544304,452653560.8434505
2,1528928.4739167332,0.34926617412140576,10957019.782535601,0.37430775316455694,430033805.80191696
3,1451607.653529353,0.38880291533546324,10401536.704410601,0.4029865506329114,408260245.571885
4,1380146.994583666,0.4075479233226837,9886363.31744462,0.3966574367088608,387786412.370607
5,1312298.3711811102,0.4303614217252396,9398702.97992484,0.4353243670886076,368665972.14057505
6,1249387.8921101238,0.44501297923322686,8944347.033573972,0.45233386075949367,350812026.0702875
7,1191402.317991214,0.45307507987220447,8521350.82525712,0.45114715189873417,334107255.00319487
8,1136970.7305810703,0.4659544728434505,8123643.556269779,0.4788370253164557,318463643.60383385
9,1085521.2040360423,0.4780101837060703,7751406.293562104,0.48002373417721517,303748394.1214058
10,1037876.4271540535,0.48749500798722045,7403788.987737342,0.47132120253164556,289897745.2779553
11,992710.7675219649,0.493135982428115,7072031.816554588,0.47854034810126583,276843325.95527154
12,949598.112495008,0.504742412140575,6759723.64883307,0.4876384493670886,264494383.84664536
13,909223.1319014577,0.5123053115015974,6462299.791683149,0.5066257911392406,252805229.39297125
14,870471.9352286342,0.5257088658146964,6181902.533573971,0.5103837025316456,241732647.36102235
15,834437.7501248004,0.5309754392971247,5914357.352600871,0.5344145569620253,231235940.29392973
16,800836.5128544329,0.5319488817891374,5668380.851265823,0.5005933544303798,221297737.9169329
17,768324.239479333,0.539486821086262,5424310.861352848,0.5392602848101266,211895326.057508
18,737813.4937225439,0.5440794728434505,5201299.922517801,0.5248219936708861,202985948.06389776
19,708403.734799321,0.5523911741214057,4987897.136125396,0.5302610759493671,194546122.22364217
20,680923.1337859425,0.558805910543131,4783386.957624604,0.5518196202531646,186554316.2172524
21,654837.386294429,0.5643470447284346,4591701.291188687,0.5496439873417721,178997614.72204474
22,629906.2475539137,0.5698132987220448,4412437.781793908,0.5502373417721519,171859415.0543131
23,605749.2556659345,0.5821186102236422,4241869.461530854,0.5467761075949367,165114819.37380192
24,584216.0303514377,0.583616214057508,4080902.688192247,0.5476661392405063,158748841.20127794
25,562729.8989866214,0.5903055111821086,3927493.517355617,0.5626977848101266,152747817.8146965
26,543294.5159245208,0.5927765575079872,3785609.902047073,0.5518196202531646,147088729.55910543
27,524955.8869558707,0.5960463258785943,3648373.0955795096,0.580498417721519,141770691.7316294
28,507264.50668929715,0.6038089057507987,3521167.513399921,0.5877175632911392,136757233.4313099
29,490049.04556459666,0.6130441293929713,3404768.6546677216,0.5671479430379747,132031456.56230032
30,475550.7377570887,0.6062300319488818,3290902.8037974685,0.5703125,127582462.1341853
31,459911.4681509585,0.6172623801916933,3184698.0841079904,0.5792128164556962,123373700.62619808
32,446512.1248003195,0.6187350239616614,3084734.8406348894,0.5746637658227848,119406180.44728434
33,433046.58024660544,0.6264476837060703,2990038.633801424,0.5681368670886076,115649425.456869
34,420506.0252346246,0.6293680111821086,2896553.837470332,0.5997824367088608,112089000.38338658
35,408524.0426068291,0.6355830670926518,2811042.7239912977,0.5894976265822784,108694671.97444089
36,396958.24006589456,0.6423472444089456,2729476.458217959,0.592068829113924,105462149.52076678
37,385788.82958516374,0.6462909345047924,2650984.319076345,0.6036392405063291,102381364.7284345
38,375976.8362994209,0.6442442092651757,2576601.773734177,0.5940466772151899,99445305.15015975
39,365599.51466403756,0.6562000798722045,2504958.3227848103,0.6033425632911392,96609162.3769968
40,355799.1871505591,0.6602935303514377,2435130.815170095,0.612440664556962,93901242.7859425
41,346915.97047224443,0.6627146565495208,2369972.1478441455,0.6065071202531646,91305195.7571885
42,337891.14564197283,0.6683306709265175,2307211.3360858387,0.6087816455696202,88800216.10223642
43,329863.2451577476,0.6682308306709265,2245758.148931962,0.6013647151898734,86393752.40894568
44,320669.48951677314,0.6804862220447284,2185757.0193581884,0.6168908227848101,84060833.15015975
45,312542.4297998203,0.6843051118210862,2131158.5006428007,0.6009691455696202,81807238.51757188
46,304803.896072534,0.6878244808306709,2076474.5291238134,0.6001780063291139,79624231.23322684
47,297579.9615989417,0.6866014376996805,2024317.1097705697,0.5916732594936709,77520075.7571885
48,290043.7467988718,0.6938897763578274,1970040.6531348892,0.6111550632911392,75486452.85623004
49,282802.18549071485,0.7006289936102237,1923587.0644778481,0.598496835443038,73513406.28753993
50,276249.9015263079,0.7020017971246006,1875399.3507219146,0.5879153481012658,71591758.74760383
51,269077.40576951875,0.7085912539936102,1825431.2307654272,0.6131329113924051,69737012.90734825
52,263214.28725289536,0.7108126996805112,1780622.5041040347,0.6101661392405063,67944793.15015975
53,256161.0619508786,0.7211960862619808,1733028.645025712,0.6318235759493671,66200289.8913738
54,250190.1762929313,0.7215205670926518,1692589.0923655063,0.6220332278481012,64518889.73801917
55,243997.14730805712,0.7292332268370607,1649744.4854628164,0.6265822784810127,62871335.782747604
56,238112.08672998202,0.731629392971246,1611884.8382614716,0.6203520569620253,61277671.5399361
57,232161.11637005792,0.7368710063897763,1571330.036145174,0.6299446202531646,59730855.36102236
58,226924.1406624401,0.7392422124600639,1534158.153332674,0.6338014240506329,58239987.59105431
59,221949.65657448082,0.7416882987220448,1497291.8178896361,0.625,56796311.0543131
60,215915.87018270767,0.7509984025559105,1464649.8591772153,0.622626582278481,55375902.61980831
61,210928.4338620707,0.7528204872204473,1430142.7149426425,0.6222310126582279,53993510.67092652
62,205699.06392896365,0.7601587460063898,1396015.4496637657,0.6224287974683544,52663172.58785942
63,201078.94900034944,0.7627046725239617,1362397.6807258702,0.6291534810126582,51371505.52076677
64,196270.78557433106,0.7687450079872205,1330856.72265625,0.6402294303797469,50123711.11821086
65,192198.23290235622,0.7689197284345048,1300277.9479331488,0.6252966772151899,48916236.907348245
66,186794.05116189097,0.7782298322683706,1276313.9767602847,0.6012658227848101,47725310.006389774
67,182715.78838233827,0.7809255191693291,1245033.0625988925,0.6212420886075949,46576184.54952077
68,178268.9745781749,0.7843949680511182,1215813.1432950948,0.6244066455696202,45465917.78913738
69,173879.82522963258,0.7916583466453674,1191125.0718453324,0.6206487341772152,44384359.079872206
70,169923.9865215655,0.7965255591054313,1162560.8303995254,0.627373417721519,43352479.74440894
71,166092.1325379393,0.8013428514376997,1139141.237539557,0.6269778481012658,42328391.71884984
72,161897.5899560703,0.8066094249201278,1113140.02200356,0.6327136075949367,41337787.19488818
73,158123.553127496,0.8098292731629393,1088811.1329608385,0.6265822784810127,40374635.56549521
74,154632.38804163339,0.8133985623003195,1069244.2235462817,0.6085838607594937,39445137.07348243
75,150844.08707942293,0.8207867412140575,1044118.5708564082,0.621934335443038,38541408.9456869
76,147849.7355075629,0.8219848242811502,1023562.124752769,0.6274723101265823,37675134.90095846
77,144001.45458828376,0.8297224440894568,1003858.5943928006,0.6241099683544303,36818182.92651757
78,141180.8547667482,0.8297224440894568,982454.4687252769,0.6309335443037974,35995250.3514377
79,137761.41124825279,0.8364117412140575,963730.3693631329,0.627373417721519,35190524.58785942
80,134440.58105780752,0.8420527156549521,945662.9873417722,0.6160996835443038,34415213.955271564
81,131381.16522314298,0.8434754392971247,928334.1956091772,0.625,33657474.1086262
82,128283.28202064197,0.8487420127795527,912970.8753461235,0.6177808544303798,32920690.345047925
83,125809.94498801917,0.8523362619808307,890902.8203619462,0.6253955696202531,32205357.73801917
84,122668.73252795528,0.8560802715654952,875279.805181962,0.6310324367088608,31502174.68370607
85,119949.1711714382,0.8614466853035144,860880.2955893987,0.6162974683544303,30826986.504792333
86,117538.4248858077,0.8635932507987221,843925.2229529272,0.6239121835443038,30171850.12779553
87,114858.10939684005,0.8674620607028753,832573.6929885285,0.6257911392405063,29538915.552715655
88,112559.40993472944,0.8677366214057508,812213.3449367088,0.6254944620253164,28918038.24920128
89,109482.11455109325,0.8758236821086262,801053.5570609177,0.6167919303797469,28315603.08626198
90,107745.7703861322,0.8746006389776357,786695.1344936709,0.6211431962025317,27728947.079872206
91,105110.98303495657,0.879742412140575,770495.0223496836,0.6227254746835443,27160952.830670927
92,103022.49741039336,0.88091553514377,761815.7138548259,0.6176819620253164,26603940.3514377
93,100948.34900721346,0.8853334664536742,746061.8820708069,0.6228243670886076,26065527.099041533
94,99339.02120201428,0.885558107028754,734169.721420095,0.6332080696202531,25537593.642172523
95,96900.11212060702,0.8897264376996805,718514.2560324367,0.6361748417721519,25032061.616613418
96,94635.45096907447,0.8952426118210862,715703.6038370254,0.6228243670886076,24536887.309904154
97,92860.24719043281,0.8972643769968051,701131.0858880538,0.6190664556962026,24055672.79233227
98,91333.73885689148,0.8949430910543131,687194.4948081487,0.6305379746835443,23592169.124600638
99,88894.33946154903,0.902980231629393,679843.8478540349,0.6153085443037974,23133665.623003196
